Number,Image,Name,Release Year,Platform,Genre,Copies Sold,Producer/Publisher
,,,,,,,
1,Halo_5.jpeg,Halo 5,2015,X-Box,First-person Shooter,5 million,343 Indust
2,Forza.jpeg,Forza,2017,X-Box,Racing,3 million,Turn 10 Stu
3,Sunset_Overdrive.jpeg,Sunset Overdrive,2014,X-Box,Action,1.5 million,Insomniac
4,Sea_Of_Thieves.jpeg,Sea Of Thieves,2020,X-Box,Action-Adventure  ,5 million,Rare Ltd.
5,Battletoads.jpeg,Battletoads,2020,X-Box,Beater,500k,Dlala Stu
6,Crackdown_3.jpeg,Crackdown 3,2019,X-Box,Action,1 million,Sumo
7,S_O_D.jpeg,SOD2,2018,X-Box,Survival,3 million,Undead Lab
8,Quantum_B.jpeg,QuantumB,2016,X-Box,Action,2 million,Remedy Ent.
9,"Re_Core,jpeg",ReCore,2016,X-Box,Action-Adv,1.2 million,Comcept
10,Project_Spark.jpeg,Project Spark,2014,X-Box,Sandbox,1 million,Team Dakota
11,Super_Mario_World.jpeg,Super Mario World,1990,Super NES/GBA,Platformer  ,20.6 million,Nintendo
12,HalfLife.jpeg,Half-Life,1998,PC,First-person Shooter,9.3 million+,Valve
13,The_Sims.jpeg,The Sims,2000,PC/Console,Social Simulation,11.5 million,Electronic Arts
14,Animal_Crossing.jpeg,Animal Crossing,2001,GameCube,Life Simulation,2.7 million,Nintendo
15,GTA_San_Andreas.jpeg,Grand Theft Auto: San Andreas,2004,PlayStation 2  ,Sandbox/Action-Adventure  ,27.5 million+,Rockstar Games
16,Angry_Birds.jpeg,Angry Birds,2009,iOS,Puzzle  ,12 million,Rovio Entertainment
17,Plants_VS_Zombies.jpeg,Plants VS. Zombies,2009,PC/Console/Mobile,Tower Defense,9 million+,PopCap Games
18,Minecraft.jpeg,Minecraft,2011,PC/Console/Mobile,Sandbox,300 million+,Mojang Studios
19,Portal_2.jpeg,Portal 2,2011,PC/Console,Puzzle/Platformer  ,4 million+,Valve
20,Ultimate_MvC_3.jpeg,Ultimate Marvel VS. Capcom 3,2011,Arcade/Console,Fighting  ,3 million  ,Capcom  
21,PW_AA_Trilogy.jpeg,Phoenix Wright: Ace Attorney Trilogy,2012,PC/Console/Mobile,Visual Novel  ,3.5 million+,Capcom
22,SSB_Ultimate.jpeg,Super Smash Bros. Ultimate,2018,Nintendo Switch,Fighting  ,35.1 million,Nintendo
23,Final_Fantasy_VII.jpeg,Final Fantasy VII  ,1997,PlayStation  ,RPG  ,13.2 million  ,Square (now Square Enix)  
24,Gran_Turismo.jpeg  ,Gran Turismo  ,1997,PlayStation  ,Racing  ,10.5 million  ,Polyphony Digital  
25,Metal_Gear_Solid.jpeg,Metal Gear Solid  ,1998,PlayStation  ,Action/Stealth  ,7 million  ,Konami  
26,Resident_Evil.jpeg  ,Resident Evil  ,1996,PlayStation  ,Survival Horror  ,6.1 million  ,Capcom  
27,Crash_Bandicoot.jpeg  ,Crash Bandicoot  ,1996,PlayStation  ,Platformer  ,6.8 million  ,Naughty Dog  
