Title,Price,Author,Publisher,ReleaseDate,Quantity Available
A Series of Unfortunate Events: The Bad Beginning,9.79,Lemony Snicket,HarperCollins Publishers,8/25/1999,176
A Series of Unfortunate Events 2: The Reptile Room,11.19,Lemony Snicket,HarperCollins Publishers,8/25/1999,208
A Series of Unfortunate Events 3: The Wide Window,11.1,Lemony Snicket,HarperCollins Publishers,2/2/2000,224
A Series of Unfortunate Events 4: The Miserable Mill,9.79,Lemony Snicket,HarperCollins Publishers,4/5/2000,208
A Series of Unfortunate Events 5: The Austere Academy,9.79,Lemony Snicket,HarperCollins Publishers,8/8/2000,240
A Series of Unfortunate Events 6: The Ersatz Elevator,9.79,Lemony Snicket,HarperCollins Publishers,2/20/2001,272
A Series of Unfortunate Events 7: The Vile Village,10.33,Lemony Snicket,HarperCollins Publishers,4/24/2001,272
A Series of Unfortunate Events 8: The Hostile Hospital,10.48,Lemony Snicket,HarperCollins Publishers,9/4/2001,272
A Series of Unfortunate Events 9: The Carnivorous Carnival,9.79,Lemony Snicket,HarperCollins Publishers,10/29/2002,304
A Series of Unfortunate Events 10: The Slippery Slope,10.77,Lemony Snicket,HarperCollins Publishers,9/23/2003,352
A Series of Unfortunate Events 11: The Grim Grotto,10.48,Lemony Snicket,HarperCollins Publishers,9/21/2004,352
A Series of Unfortunate Events 12: The Penultimate Peril,9.79,Lemony Snicket,HarperCollins Publishers,10/18/2005,368
A Series of Unfortunate Events 13: The End,10.77,Lemony Snicket,HarperCollins Publishers,10/13/2006,368
The Count of Monte Cristo,22.79,Alexandre Dumas,Penguin Publishing Group,8/27/2013,1312
Diary of a Wimpy Kid,11.18,Jeff Kinney,Amulet Books,4/1/2007,224
Diary of a Wimpy Kid 2: Rodrick Rules,10.69,Jeff Kinney,Amulet Books,2/1/2008,224
Diary of a Wimpy Kid 3: The Last Straw,9.77,Jeff Kinney,Amulet Books,1/13/2009,224
Diary of a Wimpy Kid 4: Dog Days,9.77,Jeff Kinney,Amulet Books,10/12/2009,214
Diary of a Wimpy Kid 5: The Ugly Truth,9.77,Jeff Kinney,Amulet Books,11/9/2010,224
Diary of a Wimpy Kid 6: Cabin Fever,9.9,Jeff Kinney,Amulet Books,11/15/2011,224
Diary of a Wimpy Kid 7: The Third Wheel,9.77,Jeff Kinney,Amulet Books,11/13/2012,224
Diary of a Wimpy Kid 8: Hard Luck,9.77,Jeff Kinney,Amulet Books,11/5/2013,224
Diary of a Wimpy Kid 9: The Long Haul,10.53,Jeff Kinney,Amulet Books,11/4/2014,224
Diary of a Wimpy Kid 10: Old School,9.77,Jeff Kinney,Amulet Books,11/3/2015,224
Diary of a Wimpy Kid 11: Double Down,9.77,Jeff Kinney,Amulet Books,11/1/2016,224
Diary of a Wimpy Kid 12: The Getaway,11.16,Jeff Kinney,ABRAMS,11/7/2017,224
Diary of a Wimpy Kid 13: The Meltdown,10.59,Jeff Kinney,Amulet Books,10/30/2018,224
Twilight,11.19,Stephanie Meyer,Little Brown and Company,10/5/2005,498
Twilight: New Moon,11.89,Stephenie Meyer,"Little, Brown Books for Young Readers",5/31/2008,608
Twilight: Eclipse,11.89,Stephenie Meyer,"Little, Brown Books for Young Readers",8/4/2009,640
The Short Second Life of Bree Tanner: An Eclipse Novella,8.99,Stephenie Meyer,"Little, Brown Books for Young Readers",9/25/2012,224
Twilight: Breaking Dawn,11.89,Stephenie Meyer,"Little, Brown Books for Young Readers",8/3/2010,768
Twilight: Life and Death Dual Edition,17.59,Stephenie Meyer,"Little, Brown Books for Young Readers",10/6/2015,752
Harry Potter and the Sorcerer's Stone,9.74,J. K. Rowling,"Scholastic, Inc.",1/28/1997,320
Harry Potter and the Chamber of Secrets,18.89,J. K. Rowling,"Scholastic, Inc.",1/28/1999,352
Harry Potter and the Prisoner of Azkaban,18.89,J. K. Rowling,"Scholastic, Inc.",9/8/1999,448
Harry Potter and the Goblet of Fire,20.99,J. K. Rowling,"Scholastic, Inc.",7/8/2000,752
Harry Potter and the Order of the Phoenix,20.99,J. K. Rowling,"Scholastic, Inc.",6/21/2003,870
Harry Potter and the Half-Blood Prince,20.99,J. K. Rowling,"Scholastic, Inc.",7/16/2005,672
Harry Potter and the Deathly Hallows,24.49,J. K. Rowling,"Scholastic, Inc.",7/21/2007,784
Divergent,7.99,Veronica Roth,HarperCollins Publishers,5/3/2011,576
Insurgent,8.99,Veronica Roth,HarperCollins Publishers,5/1/2012,592
Allegiant,9.99,Veronica Roth,HarperCollins Publishers,10/22/2013,592
The Hunger Games,6.99,Suzanne Collins,"Scholastic, Inc.",9/1/2009,384
The Hunger Games: Catching Fire,7.99,Suzanne Collins,"Scholastic, Inc.",6/1/2010,400
The Hunger Games: Mockingjay,7.99,Suzanne Collins,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
